Image_calc,Latitude_calc,Longitude_calc,Altitude_calc,common_name,Image_exif,Latitude_exif,Longitude_exif,Altitude_exif,error_lat,error_lon,error_alt,mean_lat,error_lat_m,error_lon_m,error_horizontal_m
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0373.JPG,37.422151352090445,-122.08367184286338,377.2281034854311,0373.JPG,DJI_0373.JPG,34.10516,-117.71344,351.408,3.3169913520904473,-4.370231842863376,25.820103485431105,35.76365567604522,369247.4773147086,-394758.2876249445,540534.7400046131
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0374.JPG,37.4221730345537,-122.08413824886296,344.78657456012326,0374.JPG,DJI_0374.JPG,34.10517,-117.71344,351.008,3.3170030345537,-4.370698248862951,-6.221425439876725,35.76367151727685,369248.7778065179,-394800.33895151713,540566.3396363484
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0375.JPG,37.42213086115564,-122.08427366815424,364.5651462291336,0375.JPG,DJI_0375.JPG,34.10517,-117.71344,348.908,3.3169608611556356,-4.3708336681542335,15.65714622913356,35.76365043057782,369244.08306384535,-394812.67588271113,540572.1431181288
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0376.JPG,37.42194009712544,-122.0841642117857,361.332885765343,0376.JPG,DJI_0376.JPG,34.10517,-117.71344,346.308,3.316770097125442,-4.370724211785699,15.024885765343015,35.76355504856272,369222.8472120042,-394803.26218979433,540550.7624072345
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0377.JPG,37.42249012232188,-122.08416714821804,342.9667204872573,0377.JPG,DJI_0377.JPG,34.10516,-117.71344,344.208,3.3173301223218843,-4.370727148218037,-1.2412795127427216,35.763825061160944,369285.18921687215,-394802.18735442596,540592.5620231751
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0378.JPG,37.42224720671173,-122.08404053790504,376.5051764939668,0378.JPG,DJI_0378.JPG,34.10517,-117.71344,341.908,3.31707720671173,-4.370600537905034,34.5971764939668,35.763708603355866,369257.03465114976,-394791.32877478824,540565.3992951486
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0379.JPG,37.421822498682594,-122.08424396346014,356.9597783796431,0379.JPG,DJI_0379.JPG,34.10517,-117.71344,339.708,3.3166524986825934,-4.3708039634601334,17.2517783796431,35.7634962493413,369209.7561533463,-394810.7579071163,540547.2954312185
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0380.JPG,37.42217332580887,-122.08387032283694,355.3196964498284,0380.JPG,DJI_0380.JPG,34.10517,-117.71344,336.908,3.3170033258088694,-4.370430322836938,18.411696449828412,35.763671662904436,369248.81022904336,-394776.1367672014,540548.686074067
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0381.JPG,37.42173748994427,-122.08373230403797,352.9144009390405,0381.JPG,DJI_0381.JPG,34.10517,-117.71344,333.908,3.316567489944269,-4.37029230403796,19.006400939040475,35.76345374497214,369200.2929805961,-394764.7511039061,540507.229416117
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0382.JPG,37.42223114502547,-122.08414402891866,364.4989055047101,0382.JPG,DJI_0382.JPG,34.10516,-117.71344,332.308,3.317071145025473,-4.370704028918652,32.19090550471009,35.76369557251273,369256.3598642356,-394800.74167136534,540571.8129207683
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0383.JPG,37.421862364853375,-122.08397340748984,339.1171817936672,0383.JPG,DJI_0383.JPG,34.10517,-117.71344,330.008,3.316692364853374,-4.37053340748983,9.109181793667233,35.763516182426685,369214.19405547756,-394786.21990803897,540532.4046912583
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0384.JPG,37.42226110669174,-122.08426289210246,366.4632993977698,0384.JPG,DJI_0384.JPG,34.10516,-117.71344,327.708,3.3171011066917444,-4.370822892102453,38.75529939776976,35.763710553345874,369259.69519692496,-394811.40409608575,540581.8784432648
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0385.JPG,37.42198774515375,-122.08410837352632,374.8208417332078,0385.JPG,DJI_0385.JPG,34.10517,-117.71344,324.608,3.316817745153749,-4.370668373526314,50.212841733207824,35.76357887257687,369228.1513905153,-394798.1001368568,540550.6152534921
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0386.JPG,37.4221179764024,-122.08420955159104,358.9570564388237,0386.JPG,DJI_0386.JPG,34.10517,-117.71344,322.408,3.316947976402396,-4.370769551591039,36.5490564388237,35.763643988201196,369242.64873311477,-394806.9162769148,540566.9567995562
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0387.JPG,37.42207602760799,-122.08405441999996,350.26069452092463,0387.JPG,DJI_0387.JPG,34.10517,-117.71344,320.508,3.316906027607992,-4.370614419999953,29.75269452092465,35.76362301380399,369237.97899332165,-394793.00750073465,540553.6087221579
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0388.JPG,37.4220362194133,-122.08391031516288,344.3707367057707,0388.JPG,DJI_0388.JPG,34.10517,-117.71344,317.908,3.316866219413299,-4.370470315162876,26.46273670577068,35.76360310970665,369233.54754508846,-394780.0894408702,540541.1470477271
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0389.JPG,37.4220093876719,-122.08405379887108,327.4117617707794,0389.JPG,DJI_0389.JPG,34.10517,-117.71344,315.708,3.316839387671898,-4.3706137988710765,11.703761770779352,35.763589693835954,369230.5606356357,-394793.1167581703,540548.6212607855
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0390.JPG,37.422348692610136,-122.08390630139024,352.4546121286342,0390.JPG,DJI_0390.JPG,34.10517,-117.71344,313.408,3.3171786926101348,-4.370466301390238,39.046612128634195,35.763759346305065,369268.3320613602,-394778.9515205385,540564.0772628484
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0391.JPG,,,,0391.JPG,DJI_0391.JPG,34.10516,-117.71345,312.208,,,,,,,
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0392.JPG,37.42187016907225,-122.08395948419646,333.2470696147228,0392.JPG,DJI_0392.JPG,34.10516,-117.71345,314.808,3.316710169072252,-4.370509484196461,18.439069614722825,35.763515084536124,369216.1760211231,-394784.0643877564,540532.1841760925
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0393.JPG,37.43922035483365,-122.06042422083172,3242.030183409514,0393.JPG,DJI_0393.JPG,34.10516,-117.71345,314.908,3.334060354833653,-4.346974220831726,2927.122183409514,35.772190177416824,371147.5987000823,-392615.32082041673,540275.235564019
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0394.JPG,37.42211714968569,-122.08402218246768,338.4766806000517,0394.JPG,DJI_0394.JPG,34.10516,-117.71345,314.808,3.3169571496856918,-4.370572182467683,23.668680600051687,35.763638574842844,369243.66990301124,-394789.11500178894,540554.65319183
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0395.JPG,37.42209799436762,-122.08413572992649,331.09237885639834,0395.JPG,DJI_0395.JPG,34.10517,-117.71345,315.408,3.3169279943676173,-4.3706857299264925,15.684378856398325,35.76363399718381,369240.4243330032,-394799.3943412214,540559.9437007995
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0396.JPG,37.42201553314413,-122.08404534596356,328.5492685688156,0396.JPG,DJI_0396.JPG,34.10517,-117.71345,315.508,3.316845533144132,-4.370595345963565,13.04126856881561,35.76359276657207,369231.2447496048,-394791.43467614567,540547.8600392309
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0397.JPG,37.42229416076688,-122.08409927779756,377.9476712770247,0397.JPG,DJI_0397.JPG,34.10516,-117.71345,316.308,3.3171341607668836,-4.370649277797568,61.63967127702472,35.76372708038344,369263.3747765695,-394795.63969286584,540572.8785944411
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0398.JPG,37.42193083070457,-122.0840022316386,347.0681415283544,0398.JPG,DJI_0398.JPG,34.10516,-117.71346,318.508,3.31677083070457,-4.370542231638609,28.560141528354393,35.76354541535228,369222.92887403275,-394786.8719080265,540538.8472970686
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0399.JPG,37.422050861463326,-122.08409651364188,394.791815241571,0399.JPG,DJI_0399.JPG,34.10516,-117.71343,319.208,3.316890861463328,-4.370666513641879,75.58381524157096,35.76360543073166,369236.29069809767,-394797.8003285975,540555.955949788
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0400.JPG,37.421807554514,-122.08415131701418,340.60163950444087,0400.JPG,DJI_0400.JPG,34.10515,-117.71341,319.408,3.316657554513995,-4.370741317014179,21.193639504440853,35.763478777257,369210.3189684979,-394805.1858247929,540543.6100695014
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0401.JPG,37.42183930072285,-122.0839370753555,335.58282681876835,0401.JPG,DJI_0401.JPG,34.10515,-117.7134,319.108,3.3166893007228495,-4.3705370753555,16.47482681876835,35.76349465036142,369213.8529564676,-394786.65808208124,540532.4917288305
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0402.JPG,37.42225574694262,-122.08415620335722,347.61349204681017,0402.JPG,DJI_0402.JPG,34.10514,-117.71338,319.208,3.317115746942619,-4.370776203357224,28.40549204681014,35.76369787347131,369261.32494965236,-394807.2496867523,540579.9575537279
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0403.JPG,37.42227653714679,-122.08404537202117,336.8063806957832,0403.JPG,DJI_0403.JPG,34.10512,-117.71334,319.308,3.3171565371467935,-4.370705372021163,17.498380695783226,35.76369826857339,369265.86571518105,-394800.84961172944,540578.3850992615
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0404.JPG,37.42169648450456,-122.08388536026816,358.6339537811634,0404.JPG,DJI_0404.JPG,34.10512,-117.71334,319.508,3.3165764845045587,-4.370545360268153,39.125953781163446,35.76340824225228,369201.29425504745,-394787.83527640544,540524.7733100051
